"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R10,R5,Re";"R_1206_3216Metric";3;"100";;;
2;"K1";"G6K-2F-Y";1;"G6K-2F-Y-DC5 ";;;
3;"J5,J3,J4";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
4;"J1";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"UFL-Male";;;
5;"D1";"D_SOD-323";1;"PDZ5.6B";;;
6;"C1,C2,C4,C5,C6,C7,C8,C9,C10,C12,C13,C14,C15,C16,C17,C18,C20,C21,C22,C23,C24,C26,C27";"C_1206_3216Metric";23;"100nF";;;
7;"C3";"C_1206_3216Metric";1;"220pF";;;
8;"C11,C19,C28";"CP_SMD";3;"10uF";;;
9;"C25";"C_SM";1;"330pF SM";;;
10;"C31 SM";"C_SM";1;"2200pF SM";;;
11;"D2";"D_SOD-123";1;"1N4148W";;;
12;"J2";"SMA_Amphenol_901-144_Vertical";1;"Conn_Coaxial";;;
13;"L1,L2";"FB_SMD";2;"L_Core_Ferrite";;;
14;"Q1";"TO-92_SMD";1;"MPSH10";;;
15;"Q2,Q3";"TO-220_HRZ";2;"RD06HHF1";;;
16;"Q4,Q5";"TO-220_HRZ";2;"RD16HHF1";;;
17;"R1,R12,R13";"R_1206_3216Metric";3;"27";;;
18;"R2,R3";"R_1206_3216Metric";2;"180";;;
19;"R4";"R_1206_3216Metric";1;"10k";;;
20;"R6";"R_1206_3216Metric";1;"1k5";;;
21;"R7";"R_1206_3216Metric";1;"270";;;
22;"R8";"R_1206_3216Metric";1;"33";;;
23;"R9";"R_1206_3216Metric";1;"82";;;
24;"RV1,RV2,RV3,RV4";"POT";4;"2k2";;;
25;"T1,T2";"BN43-2402";2;"BN43-2402";;;
26;"T3";"BN43-1502";1;"BN43-1502";;;
27;"T4,T5";"BN43-202";2;"BN43-202";;;
